着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),Year
1,3,5,ワールドプレミア,牡3,57,武豊,3:06.0,"",**,7-6-8-6,35.8,6.5,3,484(+12),,,,"[西]
友道康夫",大塚亮一,"14,702.7",2019
2,7,14,サトノルークス,牡3,57,福永祐一,3:06.0,クビ,**,10-11-12-7,35.7,24.7,8,470(+8),,,,"[西]
池江泰寿",サトミホースカンパニー,"5,572.2",2019
3,7,13,ヴェロックス,牡3,57,川田将雅,3:06.2,1,**,4-4-4-4,36.2,2.2,1,490(0),,,,"[西]
中内田充",金子真人ホールディングス,"3,386.1",2019
4,3,6,ディバインフォース,牡3,57,横山典弘,3:06.3,3/4,**,15-15-13-11,35.8,164.8,16,448(+2),,,,"[西]
寺島良",吉田晴哉,"1,800.0",2019
5,4,8,メロディーレーン,牝3,55,坂井瑠星,3:06.4,クビ,**,16-16-16-15,35.7,65.7,12,340(+2),,,,"[西]
森田直行",岡田牧雄,"1,200.0",2019
6,6,12,レッドジェニアル,牡3,57,酒井学,3:06.6,1,**,7-8-8-7,36.4,15,7,486(-2),,,,"[西]
高橋義忠",東京ホースレーシング,"",2019
7,8,17,タガノディアマンテ,牡3,57,田辺裕信,3:06.6,クビ,**,12-12-8-2,36.6,59.9,11,470(-4),,,,"[西]
鮫島一歩",八木良司,"",2019
8,5,10,カウディーリョ,牡3,57,Ｍ．デム,3:06.6,ハナ,**,1-1-1-1,36.8,68,13,434(-14),,,,"[東]
堀宣行",キャロットファーム,"",2019
9,1,2,ニシノデイジー,牡3,57,ルメール,3:06.7,1/2,**,12-12-13-12,36.2,6,2,492(+4),,,,"[東]
高木登",西山茂行,"",2019
10,4,7,ヒシゲッコウ,牡3,57,スミヨン,3:06.7,クビ,**,12-12-8-7,36.5,9.6,4,484(-2),,,,"[東]
堀宣行",阿部雅英,"",2019
11,7,15,ホウオウサーベル,牡3,57,蛯名正義,3:07.4,4,**,7-8-7-4,37.4,10.5,5,486(-2),,,,"[東]
奥村武",小笹芳央,"",2019
12,8,18,メイショウテンゲン,牡3,57,池添謙一,3:07.7,1.3/4,**,4-6-4-15,37.3,117.2,15,456(+10),,,,"[西]
池添兼雄",松本好雄,"",2019
13,1,1,ザダル,牡3,57,石橋脩,3:08.0,1.3/4,**,10-10-13-12,37.5,14.9,6,480(-12),,,,"[東]
大竹正博",キャロットファーム,"",2019
14,8,16,ナイママ,牡3,57,柴田大知,3:08.5,3,**,3-3-3-7,38.4,274,18,474(+2),,,,"[東]
武藤善則",岡田繁幸,"",2019
15,2,4,ユニコーンライオン,牡3,57,岩田康誠,3:08.7,1.1/2,**,4-4-4-12,38.5,53,10,526(+10),,,,"[西]
矢作芳人",ライオンレースホース,"",2019
16,6,11,シフルマン,牡3,57,松山弘平,3:08.7,ハナ,**,18-17-17-17,37.9,71.3,14,494(-8),,,,"[西]
中尾秀正",Ｇ１レーシング,"",2019
17,5,9,ヴァンケドミンゴ,牡3,57,藤岡佑介,3:08.7,ハナ,**,2-2-2-2,38.8,187.5,17,462(+6),,,,"[西]
藤岡健一",幅田昌伸,"",2019
18,2,3,カリボール,牡3,57,藤井勘一,3:12.9,大,**,16-17-17-18,41.8,52.4,9,490(0),,,,"[西]
須貝尚介",大和屋暁,"",2019
1,2,3,コントレイル,牡3,57,福永祐一,3:05.5,"",**,7-7-5-4,35.2,1.1,1,458(-2),,,,"[西]
矢作芳人",前田晋二,"14,732.8",2020
2,5,9,アリストテレス,牡3,57,ルメール,3:05.5,クビ,**,7-7-7-4,35.1,23,4,474(+8),,,,"[西]
音無秀孝",近藤英子,"5,580.8",2020
3,5,10,サトノフラッグ,牡3,57,戸崎圭太,3:06.1,3.1/2,**,14-15-15-14,35.2,34.9,5,490(+4),,,,"[東]
国枝栄",サトミホースカンパニー,"3,390.4",2020
4,4,8,ディープボンド,牡3,57,和田竜二,3:06.2,クビ,**,5-5-3-2,36.1,51.6,7,484(-6),,,,"[西]
大久保龍",前田晋二,"1,800.0",2020
5,7,15,ブラックホール,牡3,57,藤岡佑介,3:06.2,クビ,**,12-12-13-11,35.4,116.8,14,436(-8),,,,"[東]
相沢郁",芹澤精一,"1,200.0",2020
6,7,13,ロバートソンキー,牡3,57,伊藤工真,3:06.6,2,**,14-14-15-14,35.6,76.7,9,470(-4),,,,"[東]
林徹",保坂和孝,"",2020
7,3,6,ヴェルトライゼンデ,牡3,57,池添謙一,3:06.9,2,**,10-10-10-8,36.3,10.3,2,488(0),,,,"[西]
池江泰寿",サンデーレーシング,"",2020
8,7,14,ヴァルコス,牡3,57,岩田康誠,3:07.1,1.1/4,**,9-9-10-8,36.5,42.2,6,502(+6),,,,"[西]
友道康夫",佐々木主浩,"",2020
9,1,2,ガロアクリーク,牡3,57,川田将雅,3:07.5,2.1/2,**,4-4-3-2,37.4,82.5,10,498(-4),,,,"[東]
上原博之",水上行雄,"",2020
10,6,11,バビット,牡3,57,内田博幸,3:07.6,クビ,**,2-2-2-1,37.7,12.5,3,450(-12),,,,"[西]
浜田多実",宮田直也,"",2020
11,2,4,マンオブスピリット,牡3,57,Ｍ．デム,3:07.6,クビ,**,16-16-10-11,36.9,116.6,13,488(+2),,,,"[西]
斉藤崇史",ホシノレーシング,"",2020
12,3,5,サトノインプレッサ,牡3,57,坂井瑠星,3:07.8,1,**,10-10-9-8,37.2,96.9,11,484(0),,,,"[西]
矢作芳人",サトミホースカンパニー,"",2020
13,1,1,ディアマンミノル,牡3,57,幸英明,3:07.9,1/2,**,12-12-13-11,37.1,109.9,12,458(-6),,,,"[西]
本田優",吉岡實,"",2020
14,8,16,ターキッシュパレス,牡3,57,富田暁,3:07.9,クビ,**,17-17-18-18,36.6,254.4,16,472(+4),,,,"[西]
昆貢",ゴドルフィン,"",2020
15,4,7,ダノングロワール,牡3,57,北村友一,3:08.5,3.1/2,**,5-5-5-7,38.1,64.2,8,488(+4),,,,"[東]
国枝栄",ダノックス,"",2020
16,6,12,レクセランス,牡3,57,松山弘平,3:09.2,4,**,3-3-7-14,38.4,140.6,15,480(-4),,,,"[西]
池添学",シルクレーシング,"",2020
17,8,18,ビターエンダー,牡3,57,津村明秀,3:09.4,1.1/4,**,18-18-15-14,38.3,302.1,17,476(+2),,,,"[東]
相沢郁",ヒダカ・ブリーダーズ・ユニオン,"",2020
18,8,17,キメラヴェリテ,牡3,57,松若風馬,3:11.7,大,**,1-1-1-4,41.8,324,18,540(0),,,,"[西]
中竹和也",加藤誠,"",2020
1,2,3,タイトルホルダー,牡3,57,横山武史,3:04.6,"",**,1-1-1-1,35.1,8,4,464(-2),,,,"[東]
栗田徹",山田弘,"15,007.9",2021
2,8,18,オーソクレース,牡3,57,ルメール,3:05.4,5,**,11-11-10-9,34.8,5.4,3,474(-2),,,,"[東]
久保田貴",キャロットファーム,"5,659.4",2021
3,6,11,ディヴァインラヴ,牝3,55,福永祐一,3:05.4,アタマ,**,6-6-6-6,35.2,17.3,6,484(0),,,,"[西]
斉藤崇史",窪田芳郎,"3,429.7",2021
4,7,14,ステラヴェローチェ,牡3,57,吉田隼人,3:05.4,ハナ,**,15-15-15-9,34.7,4.1,2,494(-12),,,,"[西]
須貝尚介",大野剛嗣,"1,800.0",2021
5,4,7,ディープモンスター,牡3,57,武豊,3:05.6,1.1/2,**,8-9-10-11,34.9,18.1,7,450(-4),,,,"[西]
池江泰寿",ＤＭＭドリームクラブ,"1,200.0",2021
6,5,9,ヴェローチェオロ,牡3,57,幸英明,3:05.7,クビ,**,12-12-12-14,34.9,44.1,12,470(+2),,,,"[西]
須貝尚介",大野剛嗣,"",2021
7,7,13,アリーヴォ,牡3,57,Ｍ．デム,3:05.8,3/4,**,8-9-7-7,35.4,40.3,11,492(0),,,,"[西]
杉山晴紀",シルクレーシング,"",2021
8,4,8,エアサージュ,牡3,57,藤岡佑介,3:05.9,3/4,**,4-4-5-4,35.9,36.3,10,514(-18),,,,"[西]
池添学",ラッキーフィールド,"",2021
9,1,2,アサマノイタズラ,牡3,57,田辺裕信,3:06.0,アタマ,**,18-18-18-17,34.7,13.1,5,492(-6),,,,"[東]
手塚貴久",星野壽市,"",2021
10,8,17,ヴィクティファルス,牡3,57,池添謙一,3:06.1,3/4,**,8-8-7-7,35.7,18.4,8,474(0),,,,"[西]
池添学",Ｇ１レーシング,"",2021
11,3,6,セファーラジエル,牡3,57,鮫島克駿,3:06.2,1/2,**,2-2-2-2,36.6,90.8,17,524(+2),,,,"[西]
高柳大輔",サンデーレーシング,"",2021
12,2,4,ロードトゥフェイム,牡3,57,丹内祐次,3:06.2,1/2,**,12-12-13-14,35.4,60.1,15,492(+10),,,,"[東]
尾形和幸",岡田牧雄,"",2021
13,3,5,レッドジェネシス,牡3,57,川田将雅,3:06.3,1/2,**,17-17-17-16,35.1,3.9,1,494(+4),,,,"[西]
友道康夫",東京ホースレーシング,"",2021
14,5,10,モンテディオ,牡3,57,横山和生,3:06.7,2,**,2-3-2-3,36.9,46.4,13,474(0),,,,"[西]
四位洋文",毛利元昭,"",2021
15,8,16,グラティアス,牡3,57,松山弘平,3:06.7,クビ,**,4-4-4-4,36.8,59.7,14,494(-6),,,,"[東]
加藤征弘",スリーエイチレーシング,"",2021
16,7,15,ヴァイスメテオール,牡3,57,丸山元気,3:07.1,2.1/2,**,14-14-13-13,36.3,21.7,9,494(-8),,,,"[東]
岩戸孝樹",シルクレーシング,"",2021
17,6,12,ノースザワールド,牡3,57,和田竜二,3:07.5,2.1/2,**,15-15-15-17,36.4,105.5,18,470(-2),,,,"[西]
大久保龍",スリーエイチレーシング,"",2021
18,1,1,ワールドリバイバル,牡3,57,津村明秀,3:08.5,6,**,6-6-7-11,38.1,85.4,16,512(+6),,,,"[西]
牧田和弥",鈴木昭和,"",2021
1,7,14,アスクビクターモア,牡3,57,田辺裕信,3:02.4,"",**,2-2-2-1,36.9,4.1,2,476(0),,,,"[東]
田村康仁",廣崎利洋ＨＤ,"18,065.3",2022
2,2,4,ボルドグフーシュ,牡3,57,吉田隼人,3:02.4,ハナ,**,12-13-10-4,36.3,11.5,7,496(0),,,,"[西]
宮本博",社台レースホース,"6,875.8",2022
3,8,17,ジャスティンパレス,牡3,57,鮫島克駿,3:02.5,1/2,**,8-6-6-4,36.5,9.7,4,452(0),,,,"[西]
杉山晴紀",三木正浩,"4,237.9",2022
4,6,11,ドゥラドーレス,牡3,57,横山武史,3:03.4,5,**,12-12-10-9,37.2,7,3,490(-4),,,,"[東]
宮田敬介",吉田勝己,"2,300.0",2022
5,5,9,シホノスペランツァ,牡3,57,浜中俊,3:03.4,クビ,**,16-16-16-13,36.8,149.4,17,478(0),,,,"[西]
寺島良",村瀬寛紀,"1,500.0",2022
6,3,5,ヤマニンゼスト,牡3,57,武豊,3:03.6,1.1/4,**,14-15-14-13,37.1,33.8,10,500(+6),,,,"[西]
千田輝彦",土井肇,"",2022
7,2,3,プラダリア,牡3,57,池添謙一,3:03.6,クビ,**,9-9-10-12,37.2,10.2,5,458(+2),,,,"[西]
池添学",名古屋友豊,"",2022
8,1,1,ガイアフォース,牡3,57,松山弘平,3:04.0,2.1/2,**,6-6-7-4,38,3.5,1,494(-4),,,,"[西]
杉山晴紀",ＫＲジャパン,"",2022
9,4,7,アスクワイルドモア,牡3,57,岩田望来,3:04.2,1,**,14-14-14-15,37.6,98.3,14,472(+8),,,,"[西]
藤原英昭",廣崎利洋ＨＤ,"",2022
10,1,2,シェルビーズアイ,牡3,57,松田大作,3:04.4,1,**,9-11-10-9,38.1,164.4,18,470(+2),,,,"[西]
武英智",桑田牧場,"",2022
11,8,18,セレシオン,牡3,57,福永祐一,3:04.8,2.1/2,**,6-6-3-4,38.8,24.6,9,464(-10),,,,"[西]
友道康夫",キャロットファーム,"",2022
12,6,12,ヴェローナシチー,牡3,57,川田将雅,3:05.2,2.1/2,**,17-17-16-15,38.5,11.1,6,498(0),,,,"[西]
佐々木晶",友駿ホースクラブ,"",2022
13,3,6,ビーアストニッシド,牡3,57,岩田康誠,3:05.6,2,**,4-3-3-2,39.8,123.7,15,466(+10),,,,"[西]
飯田雄三",村中徹,"",2022
14,7,13,ディナースタ,牡3,57,横山和生,3:06.1,3,**,3-3-3-4,40.2,18.8,8,462(+4),,,,"[西]
辻野泰之",ノルマンディーサラブレッドレーシング,"",2022
15,8,16,フェーングロッテン,牡3,57,松若風馬,3:06.2,1/2,**,9-9-7-9,40.1,40.1,11,472(0),,,,"[西]
宮本博",サンデーレーシング,"",2022
16,7,15,ポッドボレット,牡3,57,坂井瑠星,3:06.8,3.1/2,**,4-5-7-17,40.2,144.9,16,504(-6),,,,"[西]
辻野泰之",小川眞査雄,"",2022
17,5,10,セイウンハーデス,牡3,57,幸英明,3:07.6,5,**,1-1-1-2,42.2,61.1,12,466(-8),,,,"[西]
橋口慎介",西山茂行,"",2022
18,4,8,マイネルトルファン,牡3,57,丹内祐次,3:08.9,8,**,18-18-18-18,41.2,72.7,13,492(0),,,,"[東]
高木登",サラブレッドクラブ・ラフィアン,"",2022
1,8,17,ドゥレッツァ,牡3,57,ルメール,3:03.1,"",**,1-1-3-2,34.6,7.3,4,468(+12),,,,"[東]
尾関知人",キャロットファーム,"22,703.4",2023
2,4,7,タスティエーラ,牡3,57,モレイラ,3:03.7,3.1/2,**,9-11-9-8,34.8,4.7,2,480(+2),,,,"[東]
堀宣行",キャロットファーム,"8,772.4",2023
3,7,14,ソールオリエンス,牡3,57,横山武史,3:04.0,1.1/2,**,11-12-12-8,35.1,2.7,1,464(+4),,,,"[東]
手塚貴久",社台レースホース,"5,386.2",2023
4,3,6,リビアングラス,牡3,57,坂井瑠星,3:04.1,3/4,**,3-3-1-1,35.9,36.2,9,498(-2),,,,"[西]
矢作芳人",前田幸治,"3,000.0",2023
5,4,8,サヴォーナ,牡3,57,池添謙一,3:04.1,ハナ,**,15-15-3-2,35.6,22.3,7,536(+8),,,,"[西]
中竹和也",加藤誠,"2,000.0",2023
6,6,12,ハーツコンチェルト,牡3,57,松山弘平,3:04.1,クビ,**,4-5-6-8,35.3,9.3,5,498(+6),,,,"[東]
武井亮",グリーンファーム,"",2023
7,5,10,マイネルラウレア,牡3,57,岩田望来,3:04.1,ハナ,**,15-15-12-12,35.1,71.2,11,500(+4),,,,"[西]
宮徹",サラブレッドクラブ・ラフィアン,"",2023
8,7,13,ナイトインロンドン,牡3,57,和田竜二,3:04.2,アタマ,**,11-12-12-15,35.1,88.1,12,472(-10),,,,"[東]
大竹正博",窪田芳郎,"",2023
9,8,15,ファントムシーフ,牡3,57,武豊,3:04.3,1/2,**,6-6-6-5,35.5,20.3,6,504(+2),,,,"[西]
西村真幸",ターフ・スポート,"",2023
10,6,11,サトノグランツ,牡3,57,川田将雅,3:04.3,ハナ,**,11-12-16-12,35.1,5,3,496(+4),,,,"[西]
友道康夫",里見治,"",2023
11,8,16,ショウナンバシット,牡3,57,Ｍ．デム,3:04.4,1/2,**,8-8-9-11,35.5,185.4,15,492(+6),,,,"[西]
須貝尚介",国本哲秀,"",2023
12,2,3,シーズンリッチ,牡3,57,角田大河,3:04.7,1.3/4,**,9-8-12-15,35.5,277.7,16,492(-6),,,,"[東]
久保田貴",宇田豊,"",2023
13,1,2,ウインオーディン,牡3,57,三浦皇成,3:05.0,2,**,15-15-17-15,35.6,120.4,13,474(-8),,,,"[東]
鹿戸雄一",ウイン,"",2023
14,1,1,トップナイフ,牡3,57,横山典弘,3:05.0,アタマ,**,11-8-3-5,36.4,23.5,8,482(0),,,,"[西]
昆貢",安原浩司,"",2023
15,5,9,ノッキングポイント,牡3,57,北村宏司,3:05.2,1,**,7-6-9-12,36.3,41.7,10,492(-2),,,,"[東]
木村哲也",サンデーレーシング,"",2023
16,2,4,ダノントルネード,牡3,57,西村淳也,3:06.7,9,**,4-3-6-5,38,177.2,14,508(-6),,,,"[西]
中内田充",ダノックス,"",2023
17,3,5,パクスオトマニカ,牡3,57,田辺裕信,3:07.8,7,**,2-2-2-2,39.5,299.2,17,472(-6),,,,"[東]
久保田貴",窪田芳郎,"",2023
1,7,13,アーバンシック,牡3,57,ルメール,3:04.1,"",**,8-8-5-3,35.6,3.7,2,510(0),,,,"[東]
武井亮",シルクレーシング,"23,122.0",2024
2,8,16,ヘデントール,牡3,57,戸崎圭太,3:04.5,2.1/2,**,17-16-8-5,35.8,7.1,4,472(-8),,,,"[東]
木村哲也",キャロットファーム,"8,892.0",2024
3,8,17,アドマイヤテラ,牡3,57,武豊,3:04.5,ハナ,**,15-12-2-1,36.3,23.6,7,482(+4),,,,"[西]
友道康夫",近藤旬子,"5,446.0",2024
4,6,11,ショウナンラプンタ,牡3,57,鮫島克駿,3:04.5,クビ,**,10-10-10-4,35.8,23.6,6,536(+6),,,,"[西]
高野友和",国本哲秀,"3,000.0",2024
5,4,7,ビザンチンドリーム,牡3,57,シュタル,3:04.6,クビ,**,12-15-14-10,35.4,41.5,9,456(-2),,,,"[西]
坂口智康",吉田和美,"2,000.0",2024
6,2,4,ダノンデサイル,牡3,57,横山典弘,3:04.8,1.1/2,**,8-9-14-15,35.5,2.9,1,522(+18),,,,"[西]
安田翔伍",ダノックス,"",2024
7,6,12,シュバルツクーゲル,牡3,57,松山弘平,3:06.0,7,**,4-4-1-2,37.8,99.1,14,486(-2),,,,"[東]
鹿戸雄一",Ｇ１レーシング,"",2024
8,3,5,ハヤテノフクノスケ,牡3,57,岩田望来,3:06.3,1.1/2,**,12-12-14-14,37.1,120.2,15,516(0),,,,"[西]
中村直也",佐藤範夫,"",2024
9,7,15,エコロヴァルツ,牡3,57,岩田康誠,3:06.3,ハナ,**,6-6-11-13,37.2,68.3,12,488(+4),,,,"[西]
牧浦充徳",原村正紀,"",2024
10,8,18,アレグロブリランテ,牡3,57,横山和生,3:07.1,5,**,12-12-17-16,37.1,291.1,18,466(0),,,,"[東]
上原佑紀",サンデーレーシング,"",2024
11,4,8,ウエストナウ,牡3,57,西村淳也,3:07.2,3/4,**,7-6-8-8,38.2,55.2,11,488(-4),,,,"[西]
佐々木晶",寺田寿男,"",2024
12,3,6,ミスタージーティー,牡3,57,坂井瑠星,3:07.3,1/2,**,4-4-5-10,38.5,79.5,13,474(+2),,,,"[西]
矢作芳人",田畑利彦,"",2024
13,7,14,メリオーレム,牡3,57,藤岡佑介,3:08.0,4,**,10-10-11-8,38.9,51.5,10,488(+2),,,,"[西]
友道康夫",Ｇ１レーシング,"",2024
14,5,9,コスモキュランダ,牡3,57,Ｍ．デム,3:08.4,2.1/2,**,16-16-11-6,39.4,6,3,512(+8),,,,"[東]
加藤士津",ビッグレッドファーム,"",2024
15,1,1,ピースワンデュック,牡3,57,柴田善臣,3:09.1,4,**,1-1-2-6,40.4,26.2,8,452(-2),,,,"[東]
大竹正博",長谷川成利,"",2024
16,5,10,メイショウタバル,牡3,57,浜中俊,3:09.3,1.1/4,**,2-2-2-10,40.7,9.6,5,502(+6),,,,"[西]
石橋守",松本好雄,"",2024
17,2,3,アスクカムオンモア,牡3,57,北村友一,3:09.8,3,**,18-18-18-16,39.8,184.1,16,484(+2),,,,"[西]
藤原英昭",廣崎利洋ＨＤ,"",2024
18,1,2,ノーブルスカイ,牡3,57,池添謙一,3:19.7,大,**,3-2-5-16,50.5,253.6,17,464(-2),,,,"[西]
高柳大輔",自由が丘サラブレッド倶楽部,"",2024
